countryName,countryEnglishName,province_confirmedCount,updateTime,,,,,
智利,Chile,174293,2020/6/15,,,,,
巴基斯坦,Pakistan,141517,2020/6/15,,,,,
阿根廷,Argentina,31577,2020/6/15,,,,,
乌克兰,Ukraine,31154,2020/6/15,,,,,
瑞士,Switzerland,31011,2020/6/15,,,,,
塞浦路斯,Cyprus,980,2020/6/15,,,,,
泰国,Thailand,3135,2020/6/15,,,,,
加拿大,Canada,98787,2020/6/15,,,,,
哥伦比亚,Colombia,50939,2020/6/15,,,,,
巴拿马,Panama,20059,2020/6/15,,,,,
马尔代夫,Maldives,2035,2020/6/15,,,,,
中国,China,84778,2020/6/15,,,,,
南非,South Africa,70038,2020/6/15,,,,,
法国,France,157220,2020/6/15,,,,,
埃及,Egypt,44598,2020/6/15,,,,,
阿曼,Oman,23481,2020/6/15,,,,,
葡萄牙,Portugal,36690,2020/6/15,,,,,
哈萨克斯坦,Kazakhstan,16087,2020/6/15,,,,,
加纳,Ghana,11422,2020/6/15,,,,,
摩尔多瓦,Moldova,11459,2020/6/15,,,,,
罗马尼亚,Romania,21999,2020/6/15,,,,,
尼泊尔,Nepal,5760,2020/6/15,,,,,
喀麦隆,Cameroon,8743,2020/6/15,,,,,
阿尔及利亚,Algeria,10919,2020/6/15,,,,,
捷克,Czech Republic,9999,2020/6/15,,,,,
丹麦,Denmark,12193,2020/6/15,,,,,
中非共和国,Central African Republic,2222,2020/6/15,,,,,
南苏丹,,1755,2020/6/15,,,,,
古巴,Cuba,2238,2020/6/15,,,,,
毛里塔尼亚,The Islamic Republic of Mauritania,1783,2020/6/15,,,,,
几内亚,Guinea,4534,2020/6/15,,,,,
法属圭亚那,French Guiana,1161,2020/6/15,,,,,
乌兹别克斯坦,Uzbekistan,4994,2020/6/15,,,,,
摩洛哥,Morocco,8793,2020/6/15,,,,,
马里,Mali,1776,2020/6/15,,,,,
立陶宛,Lithuania,1763,2020/6/15,,,,,
爱沙尼亚,Estonia,1973,2020/6/15,,,,,
莫桑比克,Mozambique,583,2020/6/15,,,,,
卢旺达,Republic of Rwanda,541,2020/6/15,,,,,
开曼群岛,Cayman Is,187,2020/6/15,,,,,
科摩罗,,176,2020/6/15,,,,,
叙利亚,Syria,170,2020/6/15,,,,,
文莱,Brunei,141,2020/6/15,,,,,
俄罗斯,Russia,528964,2020/6/15,,,,,
印度,India,320922,2020/6/15,,,,,
孟加拉国,Bangladesh,87520,2020/6/15,,,,,
沙特阿拉伯,Saudi Arabia,127541,2020/6/15,,,,,
厄瓜多尔,Ecuador,46356,2020/6/15,,,,,
荷兰,Netherlands,48640,2020/6/15,,,,,
白俄罗斯,Belarus,53241,2020/6/15,,,,,
土耳其,Turkey,178239,2020/6/15,,,,,
阿富汗,Afghanistan,24766,2020/6/15,,,,,
菲律宾,Philippines,25930,2020/6/15,,,,,
玻利维亚,Bolivia,16929,2020/6/15,,,,,
新加坡,Singapore,40604,2020/6/15,,,,,
阿联酋,United Arab Emirates,42294,2020/6/15,,,,,
波兰,Poland,29392,2020/6/15,,,,,
亚美尼亚,Armenia,16667,2020/6/15,,,,,
尼日利亚,Nigeria,15682,2020/6/15,,,,,
多米尼加,Dominican Republic,22572,2020/6/15,,,,,
科威特,Kuwait,35920,2020/6/15,,,,,
危地马拉,Guatemala,8982,2020/6/15,,,,,
洪都拉斯,Honduras,8132,2020/6/15,,,,,
巴林,Bahrain,18227,2020/6/15,,,,,
波多黎各,Puerto Rico,5690,2020/6/15,,,,,
阿塞拜疆,Azerbaijan,9957,2020/6/15,,,,,
刚果（金）,Democratic Republic of the Congo,4777,2020/6/15,,,,,
苏丹,Sudan,7007,2020/6/15,,,,,
海地,Haiti,3941,2020/6/15,,,,,
萨尔瓦多,El Salvador,3603,2020/6/15,,,,,
以色列,Israel,19055,2020/6/15,,,,,
