provinceName,provinceEnglishName,province_zipCode,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
湖北省,Hubei,420000,270,11,25,6,2020/1/22
北京市,Beijing,110000,10,0,0,0,2020/1/22
广东省,Guangdong,440000,17,4,0,0,2020/1/22
上海市,Shanghai,310000,6,3,0,0,2020/1/22
浙江省,Zhejiang,330000,5,16,0,0,2020/1/22
云南省,Yunnan,530000,1,0,0,0,2020/1/22
四川省,Sichuan,510000,1,2,0,0,2020/1/22
山东省,Shandong,370000,1,0,0,0,2020/1/22
广西壮族自治区,Guangxi,450000,0,1,0,0,2020/1/22
贵州省,Guizhou,520000,0,1,0,0,2020/1/22
安徽省,Anhui,340000,0,1,0,0,2020/1/22
海南省,Hainan,460000,0,1,0,0,2020/1/22
宁夏回族自治区,Ningxia,640000,0,1,0,0,2020/1/22
吉林省,Jilin,220000,0,1,0,0,2020/1/22
江西省,Jiangxi,360000,0,2,0,0,2020/1/22
天津市,Tianjin,120000,2,0,0,0,2020/1/22
河南省,Henan,410000,1,0,0,0,2020/1/22
重庆市,Chongqing,500000,5,0,0,0,2020/1/22
辽宁省,Liaoning,210000,0,1,0,0,2020/1/22
台湾,Taiwan,710000,1,0,0,0,2020/1/22
黑龙江省,Heilongjiang,230000,0,1,0,0,2020/1/22
湖南省,Hunan,430000,1,0,0,0,2020/1/22
江西省,Jiangxi,360000,2,2,0,0,2020/1/22
四川省,Sichuan,510000,2,1,0,0,2020/1/22
江西省,Jiangxi,360000,2,0,0,0,2020/1/22
安徽省,Anhui,340000,0,2,0,0,2020/1/22
辽宁省,Liaoning,210000,0,1,0,0,2020/1/22
安徽省,Anhui,340000,0,3,0,0,2020/1/22
上海市,Shanghai,310000,9,10,0,0,2020/1/22
广西壮族自治区,Guangxi,450000,0,2,0,0,2020/1/22
湖北省,Hubei,420000,270,11,25,9,2020/1/22
广东省,Guangdong,440000,26,1,0,0,2020/1/22
浙江省,Zhejiang,330000,10,0,0,0,2020/1/22
河南省,Henan,410000,4,0,0,0,2020/1/22
