name,type,value,date
现存确诊,currentConfirmedCount,188,2020/6/15
累计确诊,confirmedCount,84739,2020/6/15
疑似感染,suspectedCount,1827,2020/6/15
治愈人数,curedCount,79906,2020/6/15
死亡人数,deadCount,4645,2020/6/15
重症人数,seriousCount,103,2020/6/15
现存确诊,currentConfirmedCount,123,2020/6/14
累计确诊,confirmedCount,84672,2020/6/14
疑似感染,suspectedCount,1808,2020/6/14
治愈人数,curedCount,79904,2020/6/14
死亡人数,deadCount,4645,2020/6/14
重症人数,seriousCount,98,2020/6/14
现存确诊,currentConfirmedCount,117,2020/6/13
累计确诊,confirmedCount,84662,2020/6/13
疑似感染,suspectedCount,1803,2020/6/13
治愈人数,curedCount,79900,2020/6/13
死亡人数,deadCount,4645,2020/6/13
重症人数,seriousCount,104,2020/6/13
现存确诊,currentConfirmedCount,119,2020/6/12
累计确诊,confirmedCount,84652,2020/6/12
疑似感染,suspectedCount,1797,2020/6/12
治愈人数,curedCount,79888,2020/6/12
死亡人数,deadCount,4645,2020/6/12
重症人数,seriousCount,129,2020/6/12
现存确诊,currentConfirmedCount,113,2020/6/11
累计确诊,confirmedCount,84641,2020/6/11
疑似感染,suspectedCount,1786,2020/6/11
治愈人数,curedCount,79883,2020/6/11
死亡人数,deadCount,4645,2020/6/11
重症人数,seriousCount,155,2020/6/11
现存确诊,currentConfirmedCount,117,2020/6/10
累计确诊,confirmedCount,84638,2020/6/10
疑似感染,suspectedCount,1783,2020/6/10
治愈人数,curedCount,79876,2020/6/10
死亡人数,deadCount,4645,2020/6/10
重症人数,seriousCount,174,2020/6/10
现存确诊,currentConfirmedCount,125,2020/6/9
累计确诊,confirmedCount,84635,2020/6/9
疑似感染,suspectedCount,1780,2020/6/9
治愈人数,curedCount,79865,2020/6/9
死亡人数,deadCount,4645,2020/6/9
重症人数,seriousCount,201,2020/6/9
现存确诊,currentConfirmedCount,128,2020/6/8
累计确诊,confirmedCount,84630,2020/6/8
疑似感染,suspectedCount,1776,2020/6/8
治愈人数,curedCount,79857,2020/6/8
死亡人数,deadCount,4645,2020/6/8
重症人数,seriousCount,236,2020/6/8
现存确诊,currentConfirmedCount,128,2020/6/7
累计确诊,confirmedCount,84624,2020/6/7
疑似感染,suspectedCount,1771,2020/6/7
治愈人数,curedCount,79851,2020/6/7
死亡人数,deadCount,4645,2020/6/7
重症人数,seriousCount,257,2020/6/7
现存确诊,currentConfirmedCount,124,2020/6/6
累计确诊,confirmedCount,84617,2020/6/6
疑似感染,suspectedCount,1768,2020/6/6
治愈人数,curedCount,79848,2020/6/6
死亡人数,deadCount,4645,2020/6/6
重症人数,seriousCount,297,2020/6/6
现存确诊,currentConfirmedCount,128,2020/6/5
累计确诊,confirmedCount,84609,2020/6/5
疑似感染,suspectedCount,1763,2020/6/5
治愈人数,curedCount,79836,2020/6/5
死亡人数,deadCount,4645,2020/6/5
重症人数,seriousCount,326,2020/6/5
现存确诊,currentConfirmedCount,130,2020/6/4
累计确诊,confirmedCount,84602,2020/6/4
疑似感染,suspectedCount,1762,2020/6/4
治愈人数,curedCount,79827,2020/6/4
死亡人数,deadCount,4645,2020/6/4
重症人数,seriousCount,357,2020/6/4
现存确诊,currentConfirmedCount,132,2020/6/3
累计确诊,confirmedCount,84603,2020/6/3
疑似感染,suspectedCount,1761,2020/6/3
治愈人数,curedCount,79826,2020/6/3
死亡人数,deadCount,4645,2020/6/3
重症人数,seriousCount,371,2020/6/3
现存确诊,currentConfirmedCount,126,2020/6/2
累计确诊,confirmedCount,84593,2020/6/2
疑似感染,suspectedCount,1756,2020/6/2
治愈人数,curedCount,79822,2020/6/2
死亡人数,deadCount,4645,2020/6/2
重症人数,seriousCount,397,2020/6/2
现存确诊,currentConfirmedCount,117,2020/6/1
累计确诊,confirmedCount,84572,2020/6/1
疑似感染,suspectedCount,1740,2020/6/1
治愈人数,curedCount,79810,2020/6/1
死亡人数,deadCount,4645,2020/6/1
重症人数,seriousCount,389,2020/6/1
现存确诊,currentConfirmedCount,119,2020/5/31
累计确诊,confirmedCount,84569,2020/5/31
疑似感染,suspectedCount,1738,2020/5/31
治愈人数,curedCount,79805,2020/5/31
死亡人数,deadCount,4645,2020/5/31
重症人数,seriousCount,396,2020/5/31
现存确诊,currentConfirmedCount,116,2020/5/30
累计确诊,confirmedCount,84561,2020/5/30
疑似感染,suspectedCount,1734,2020/5/30
治愈人数,curedCount,79800,2020/5/30
死亡人数,deadCount,4645,2020/5/30
