name,type,value,date
河北省,Hebei,331,2020/6/15
北京市,Beijing,681,2020/6/15
北京市,Beijing,645,2020/6/14
上海市,Shanghai,691,2020/6/14
陕西省,Shaanxi,313,2020/6/14
辽宁省,Liaoning,151,2020/6/14
重庆市,Chongqing,580,2020/6/14
广东省,Guangdong,1625,2020/6/14
四川省,Sichuan,583,2020/6/14
山东省,Shandong,792,2020/6/14
香港,Hong Kong,1109,2020/6/13
海南省,Hainan,171,2020/6/13
北京市,Beijing,601,2020/6/13
内蒙古自治区,Neimenggu,237,2020/6/13
四川省,Sichuan,583,2020/6/13
上海市,Shanghai,690,2020/6/13
广东省,Guangdong,1608,2020/6/13
香港,Hong Kong,1108,2020/6/12
北京市,Beijing,597,2020/6/12
天津市,Tianjin,196,2020/6/12
福建省,Fujian,361,2020/6/12
四川省,Sichuan,582,2020/6/12
上海市,Shanghai,689,2020/6/12
广东省,Guangdong,1607,2020/6/12
内蒙古自治区,Neimenggu,237,2020/6/12
北京市,Beijing,595,2020/6/11
上海市,Shanghai,684,2020/6/11
陕西省,Shaanxi,311,2020/6/11
福建省,Fujian,360,2020/6/11
四川省,Sichuan,582,2020/6/11
广东省,Guangdong,1607,2020/6/11
天津市,Tianjin,195,2020/6/10
香港,Hong Kong,1107,2020/6/10
台湾,Taiwan,443,2020/6/10
内蒙古自治区,Neimenggu,237,2020/6/10
广东省,Guangdong,1604,2020/6/10
香港,Hong Kong,1107,2020/6/9
上海市,Shanghai,678,2020/6/9
北京市,Beijing,594,2020/6/9
四川省,Sichuan,582,2020/6/9
广东省,Guangdong,1604,2020/6/9
内蒙古自治区,Neimenggu,235,2020/6/9
香港,Hong Kong,1107,2020/6/8
四川省,Sichuan,581,2020/6/8
广东省,Guangdong,1602,2020/6/8
山东省,Shandong,792,2020/6/8
内蒙古自治区,Neimenggu,235,2020/6/8
上海市,Shanghai,678,2020/6/8
香港,Hong Kong,1106,2020/6/7
台湾,Taiwan,443,2020/6/7
吉林省,Jilin,155,2020/6/7
福建省,Fujian,359,2020/6/7
陕西省,Shaanxi,311,2020/6/7
海南省,Hainan,170,2020/6/7
广东省,Guangdong,1602,2020/6/7
上海市,Shanghai,677,2020/6/7
香港,Hong Kong,1105,2020/6/6
天津市,Tianjin,193,2020/6/6
广东省,Guangdong,1601,2020/6/6
香港,Hong Kong,1102,2020/6/5
吉林省,Jilin,155,2020/6/5
台湾,Taiwan,443,2020/6/5
上海市,Shanghai,677,2020/6/5
天津市,Tianjin,192,2020/6/5
湖北省,Hubei,68135,2020/6/5
四川省,Sichuan,578,2020/6/5
广东省,Guangdong,1598,2020/6/5
内蒙古自治区,Neimenggu,235,2020/6/5
香港,Hong Kong,1099,2020/6/4
吉林省,Jilin,155,2020/6/4
上海市,Shanghai,673,2020/6/4
北京市,Beijing,594,2020/6/4
内蒙古自治区,Neimenggu,235,2020/6/4
广东省,Guangdong,1598,2020/6/4
香港,Hong Kong,1093,2020/6/3
吉林省,Jilin,155,2020/6/3
台湾,Taiwan,443,2020/6/3
江西省,Jiangxi,932,2020/6/3
黑龙江省,Heilongjiang,947,2020/6/3
北京市,Beijing,594,2020/6/3
广东省,Guangdong,1597,2020/6/3
香港,Hong Kong,1093,2020/6/2
上海市,Shanghai,673,2020/6/2
四川省,Sichuan,577,2020/6/2
内蒙古自治区,Neimenggu,235,2020/6/2
广东省,Guangdong,1596,2020/6/2
吉林省,Jilin,155,2020/6/1
福建省,Fujian,358,2020/6/1
上海市,Shanghai,672,2020/6/1
台湾,Taiwan,443,2020/6/1
香港,Hong Kong,1087,2020/6/1
陕西省,Shaanxi,309,2020/6/1
湖北省,Hubei,68135,2020/6/1
四川省,Sichuan,575,2020/6/1
广东省,Guangdong,1595,2020/6/1
内蒙古自治区,Neimenggu,235,2020/6/1
香港,Hong Kong,1084,2020/5/31
台湾,Taiwan,442,2020/5/31
山东省,Shandong,792,2020/5/31
吉林省,Jilin,155,2020/5/31
山东省,Shandong,791,2020/5/30
台湾,Taiwan,442,2020/5/30
香港,Hong Kong,1082,2020/5/30
内蒙古自治区,Neimenggu,232,2020/5/30
湖北省,Hubei,68135,2020/5/30
上海市,Shanghai,672,2020/5/30
广东省,Guangdong,1593,2020/5/30
海南省,Hainan,169,2020/5/29
香港,Hong Kong,1079,2020/5/29
吉林省,Jilin,155,2020/5/29
台湾,Taiwan,442,2020/5/29
上海市,Shanghai,671,2020/5/29
香港,Hong Kong,1066,2020/5/28
吉林省,Jilin,155,2020/5/28
台湾,Taiwan,441,2020/5/28
福建省,Fujian,358,2020/5/28
广东省,Guangdong,1592,2020/5/28
上海市,Shanghai,671,2020/5/28
香港,Hong Kong,1066,2020/5/27
台湾,Taiwan,441,2020/5/27
上海市,Shanghai,670,2020/5/27
湖北省,Hubei,68135,2020/5/27
内蒙古自治区,Neimenggu,232,2020/5/27
香港,Hong Kong,1065,2020/5/26
台湾,Taiwan,441,2020/5/26
上海市,Shanghai,669,2020/5/26
福建省,Fujian,357,2020/5/26
内蒙古自治区,Neimenggu,232,2020/5/26
辽宁省,Liaoning,149,2020/5/26
台湾,Taiwan,441,2020/5/25
上海市,Shanghai,668,2020/5/25
湖北省,Hubei,68135,2020/5/25
四川省,Sichuan,564,2020/5/25
内蒙古自治区,Neimenggu,227,2020/5/25
广东省,Guangdong,1592,2020/5/25
天津市,Tianjin,192,2020/5/25
香港,Hong Kong,1065,2020/5/24
辽宁省,Liaoning,149,2020/5/24
上海市,Shanghai,668,2020/5/24
陕西省,Shaanxi,308,2020/5/24
广东省,Guangdong,1592,2020/5/24
北京市,Beijing,593,2020/5/24
吉林省,Jilin,155,2020/5/24
台湾,Taiwan,441,2020/5/24
陕西省,Shaanxi,308,2020/5/23
台湾,Taiwan,441,2020/5/23
吉林省,Jilin,154,2020/5/23
上海市,Shanghai,667,2020/5/23
香港,Hong Kong,1065,2020/5/22
台湾,Taiwan,441,2020/5/22
吉林省,Jilin,154,2020/5/22
内蒙古自治区,Neimenggu,217,2020/5/22
上海市,Shanghai,667,2020/5/22
北京市,Beijing,593,2020/5/22
广东省,Guangdong,1591,2020/5/22
四川省,Sichuan,563,2020/5/22
上海市,Shanghai,667,2020/5/20
内蒙古自治区,Neimenggu,217,2020/5/20
吉林省,Jilin,152,2020/5/20
澳门,Macau,45,2020/5/19
台湾,Taiwan,440,2020/5/19
上海市,Shanghai,666,2020/5/19
吉林省,Jilin,151,2020/5/19
湖北省,Hubei,68135,2020/5/19
陕西省,Shaanxi,308,2020/5/19
内蒙古自治区,Neimenggu,216,2020/5/19
香港,Hong Kong,1055,2020/5/18
台湾,Taiwan,440,2020/5/18
河北省,Hebei,328,2020/5/18
北京市,Beijing,593,2020/5/18
吉林省,Jilin,146,2020/5/18
内蒙古自治区,Neimenggu,213,2020/5/18
上海市,Shanghai,666,2020/5/18
香港,Hong Kong,1055,2020/5/17
台湾,Taiwan,440,2020/5/17
天津市,Tianjin,192,2020/5/17
吉林省,Jilin,144,2020/5/17
北京市,Beijing,593,2020/5/17
广东省,Guangdong,1590,2020/5/17
黑龙江省,Heilongjiang,945,2020/5/17
澳门,Macau,45,2020/5/17
上海市,Shanghai,665,2020/5/16
吉林省,Jilin,140,2020/5/16
陕西省,Shaanxi,308,2020/5/16
内蒙古自治区,Neimenggu,209,2020/5/16
北京市,Beijing,593,2020/5/16
黑龙江省,Heilongjiang,945,2020/5/16
山东省,Shandong,788,2020/5/16
海南省,Hainan,169,2020/5/15
香港,Hong Kong,1052,2020/5/15
台湾,Taiwan,440,2020/5/15
上海市,Shanghai,660,2020/5/15
陕西省,Shaanxi,308,2020/5/15
福建省,Fujian,356,2020/5/15
山东省,Shandong,788,2020/5/15
吉林省,Jilin,138,2020/5/15
内蒙古自治区,Neimenggu,209,2020/5/15
香港,Hong Kong,1051,2020/5/14
台湾,Taiwan,440,2020/5/14
上海市,Shanghai,660,2020/5/14
北京市,Beijing,593,2020/5/14
广东省,Guangdong,1589,2020/5/14
天津市,Tianjin,191,2020/5/14
吉林省,Jilin,134,2020/5/14
辽宁省,Liaoning,149,2020/5/14
黑龙江省,Heilongjiang,945,2020/5/14
台湾,Taiwan,440,2020/5/13
澳门,Macau,45,2020/5/13
香港,Hong Kong,1050,2020/5/13
上海市,Shanghai,660,2020/5/13
内蒙古自治区,Neimenggu,209,2020/5/13
北京市,Beijing,593,2020/5/13
陕西省,Shaanxi,308,2020/5/13
吉林省,Jilin,133,2020/5/13
黑龙江省,Heilongjiang,945,2020/5/13
山西省,Shanxi,198,2020/5/13
台湾,Taiwan,440,2020/5/12
香港,Hong Kong,1047,2020/5/12
上海市,Shanghai,659,2020/5/12
陕西省,Shaanxi,308,2020/5/12
北京市,Beijing,593,2020/5/12
黑龙江省,Heilongjiang,945,2020/5/12
广东省,Guangdong,1589,2020/5/12
内蒙古自治区,Neimenggu,209,2020/5/12
香港,Hong Kong,1047,2020/5/11
澳门,Macau,45,2020/5/11
台湾,Taiwan,440,2020/5/11
江苏省,Jiangsu,653,2020/5/11
北京市,Beijing,593,2020/5/11
陕西省,Shaanxi,308,2020/5/11
黑龙江省,Heilongjiang,945,2020/5/11
广东省,Guangdong,1589,2020/5/11
山东省,Shandong,788,2020/5/11
吉林省,Jilin,127,2020/5/11
内蒙古自治区,Neimenggu,208,2020/5/11
湖北省,Hubei,68134,2020/5/11
澳门,Macau,45,2020/5/10
辽宁省,Liaoning,147,2020/5/10
上海市,Shanghai,659,2020/5/10
香港,Hong Kong,1047,2020/5/10
台湾,Taiwan,440,2020/5/10
黑龙江省,Heilongjiang,944,2020/5/10
陕西省,Shaanxi,308,2020/5/10
湖北省,Hubei,68129,2020/5/10
北京市,Beijing,593,2020/5/10
吉林省,Jilin,124,2020/5/10
河北省,Hebei,328,2020/5/10
内蒙古自治区,Neimenggu,201,2020/5/10
山西省,Shanxi,198,2020/5/10
云南省,Yunnan,185,2020/5/10
香港,Hong Kong,1044,2020/5/9
黑龙江省,Heilongjiang,944,2020/5/9
台湾,Taiwan,440,2020/5/9
内蒙古自治区,Neimenggu,201,2020/5/9
上海市,Shanghai,657,2020/5/9
北京市,Beijing,593,2020/5/9
陕西省,Shaanxi,308,2020/5/9
吉林省,Jilin,113,2020/5/9
广东省,Guangdong,1589,2020/5/9
山西省,Shanxi,198,2020/5/9
台湾,Taiwan,440,2020/5/8
香港,Hong Kong,1044,2020/5/8
天津市,Tianjin,191,2020/5/8
山东省,Shandong,788,2020/5/8
北京市,Beijing,593,2020/5/8
陕西省,Shaanxi,308,2020/5/8
江苏省,Jiangsu,653,2020/5/8
吉林省,Jilin,113,2020/5/8
黑龙江省,Heilongjiang,944,2020/5/8
内蒙古自治区,Neimenggu,201,2020/5/8
山西省,Shanxi,198,2020/5/8
云南省,Yunnan,185,2020/5/8
香港,Hong Kong,1044,2020/5/7
台湾,Taiwan,440,2020/5/7
上海市,Shanghai,657,2020/5/7
内蒙古自治区,Neimenggu,201,2020/5/7
陕西省,Shaanxi,308,2020/5/7
北京市,Beijing,593,2020/5/7
江苏省,Jiangsu,653,2020/5/7
福建省,Fujian,356,2020/5/7
广东省,Guangdong,1589,2020/5/7
黑龙江省,Heilongjiang,944,2020/5/7
澳门,Macau,45,2020/5/7
山西省,Shanxi,198,2020/5/7
广东省,Guangdong,1588,2020/5/6
黑龙江省,Heilongjiang,944,2020/5/6
台湾,Taiwan,439,2020/5/6
陕西省,Shaanxi,308,2020/5/6
北京市,Beijing,593,2020/5/6
内蒙古自治区,Neimenggu,201,2020/5/6
山东省,Shandong,788,2020/5/6
山西省,Shanxi,198,2020/5/6
黑龙江省,Heilongjiang,944,2020/5/5
香港,Hong Kong,1040,2020/5/5
上海市,Shanghai,656,2020/5/5
河北省,Hebei,328,2020/5/5
浙江省,Zhejiang,1268,2020/5/5
内蒙古自治区,Neimenggu,201,2020/5/5
北京市,Beijing,593,2020/5/5
广东省,Guangdong,1588,2020/5/5
山西省,Shanxi,198,2020/5/5
台湾,Taiwan,438,2020/5/4
香港,Hong Kong,1040,2020/5/4
上海市,Shanghai,655,2020/5/4
黑龙江省,Heilongjiang,944,2020/5/4
内蒙古自治区,Neimenggu,201,2020/5/4
陕西省,Shaanxi,306,2020/5/4
北京市,Beijing,593,2020/5/4
山西省,Shanxi,198,2020/5/4
广东省,Guangdong,1588,2020/5/4
山东省,Shandong,788,2020/5/4
黑龙江省,Heilongjiang,944,2020/5/3
香港,Hong Kong,1039,2020/5/3
台湾,Taiwan,432,2020/5/3
陕西省,Shaanxi,306,2020/5/3
北京市,Beijing,593,2020/5/3
上海市,Shanghai,653,2020/5/3
山西省,Shanxi,198,2020/5/3
吉林省,Jilin,112,2020/5/3
澳门,Macau,45,2020/5/3
天津市,Tianjin,190,2020/5/3
香港,Hong Kong,1039,2020/5/2
台湾,Taiwan,432,2020/5/2
陕西省,Shaanxi,306,2020/5/2
吉林省,Jilin,112,2020/5/2
黑龙江省,Heilongjiang,944,2020/5/2
澳门,Macau,45,2020/5/2
山西省,Shanxi,197,2020/5/2
广东省,Guangdong,1588,2020/5/2
内蒙古自治区,Neimenggu,201,2020/5/2
浙江省,Zhejiang,1268,2020/5/2
天津市,Tianjin,190,2020/5/2
辽宁省,Liaoning,146,2020/5/2
台湾,Taiwan,429,2020/5/1
上海市,Shanghai,652,2020/5/1
香港,Hong Kong,1039,2020/5/1
黑龙江省,Heilongjiang,944,2020/5/1
陕西省,Shaanxi,306,2020/5/1
浙江省,Zhejiang,1268,2020/5/1
天津市,Tianjin,190,2020/5/1
江苏省,Jiangsu,653,2020/5/1
福建省,Fujian,356,2020/5/1
北京市,Beijing,593,2020/5/1
广东省,Guangdong,1588,2020/5/1
内蒙古自治区,Neimenggu,201,2020/5/1
山西省,Shanxi,197,2020/5/1
吉林省,Jilin,111,2020/5/1
澳门,Macau,45,2020/4/30
香港,Hong Kong,1037,2020/4/30
台湾,Taiwan,429,2020/4/30
上海市,Shanghai,647,2020/4/30
浙江省,Zhejiang,1268,2020/4/30
江苏省,Jiangsu,653,2020/4/30
山西省,Shanxi,197,2020/4/30
福建省,Fujian,355,2020/4/30
内蒙古自治区,Neimenggu,200,2020/4/30
北京市,Beijing,593,2020/4/30
广东省,Guangdong,1588,2020/4/30
吉林省,Jilin,111,2020/4/30
山东省,Shandong,787,2020/4/30
香港,Hong Kong,1037,2020/4/29
澳门,Macau,45,2020/4/29
台湾,Taiwan,429,2020/4/29
上海市,Shanghai,645,2020/4/29
浙江省,Zhejiang,1268,2020/4/29
福建省,Fujian,355,2020/4/29
江苏省,Jiangsu,653,2020/4/29
广东省,Guangdong,1588,2020/4/29
黑龙江省,Heilongjiang,939,2020/4/29
山东省,Shandong,787,2020/4/29
内蒙古自治区,Neimenggu,199,2020/4/29
天津市,Tianjin,190,2020/4/29
香港,Hong Kong,1037,2020/4/28
北京市,Beijing,593,2020/4/28
台湾,Taiwan,429,2020/4/28
上海市,Shanghai,644,2020/4/28
陕西省,Shaanxi,306,2020/4/28
浙江省,Zhejiang,1268,2020/4/28
广东省,Guangdong,1587,2020/4/28
黑龙江省,Heilongjiang,939,2020/4/28
内蒙古自治区,Neimenggu,199,2020/4/28
山西省,Shanxi,197,2020/4/28
香港,Hong Kong,1037,2020/4/27
澳门,Macau,45,2020/4/27
上海市,Shanghai,642,2020/4/27
台湾,Taiwan,429,2020/4/27
广东省,Guangdong,1587,2020/4/27
湖北省,Hubei,68128,2020/4/27
浙江省,Zhejiang,1268,2020/4/27
北京市,Beijing,593,2020/4/27
山东省,Shandong,787,2020/4/27
黑龙江省,Heilongjiang,936,2020/4/27
内蒙古自治区,Neimenggu,198,2020/4/27
吉林省,Jilin,110,2020/4/27
山西省,Shanxi,197,2020/4/27
澳门,Macau,45,2020/4/26
台湾,Taiwan,429,2020/4/26
上海市,Shanghai,642,2020/4/26
浙江省,Zhejiang,1268,2020/4/26
天津市,Tianjin,190,2020/4/26
山西省,Shanxi,197,2020/4/26
湖北省,Hubei,68128,2020/4/26
广东省,Guangdong,1586,2020/4/26
内蒙古自治区,Neimenggu,198,2020/4/26
黑龙江省,Heilongjiang,935,2020/4/26
云南省,Yunnan,185,2020/4/26
黑龙江省,Heilongjiang,930,2020/4/25
香港,Hong Kong,1037,2020/4/25
台湾,Taiwan,429,2020/4/25
上海市,Shanghai,641,2020/4/25
内蒙古自治区,Neimenggu,197,2020/4/25
天津市,Tianjin,190,2020/4/25
北京市,Beijing,593,2020/4/25
陕西省,Shaanxi,286,2020/4/25
福建省,Fujian,355,2020/4/25
湖北省,Hubei,68128,2020/4/25
广东省,Guangdong,1585,2020/4/25
山东省,Shandong,787,2020/4/25
河北省,Hebei,328,2020/4/25
山西省,Shanxi,197,2020/4/25
吉林省,Jilin,109,2020/4/25
云南省,Yunnan,185,2020/4/25
香港,Hong Kong,1035,2020/4/24
安徽省,Anhui,991,2020/4/24
天津市,Tianjin,190,2020/4/24
台湾,Taiwan,428,2020/4/24
上海市,Shanghai,641,2020/4/24
福建省,Fujian,355,2020/4/24
北京市,Beijing,593,2020/4/24
浙江省,Zhejiang,1268,2020/4/24
湖北省,Hubei,68128,2020/4/24
黑龙江省,Heilongjiang,928,2020/4/24
广东省,Guangdong,1585,2020/4/24
江苏省,Jiangsu,653,2020/4/24
四川省,Sichuan,561,2020/4/24
吉林省,Jilin,108,2020/4/24
云南省,Yunnan,184,2020/4/24
重庆市,Chongqing,579,2020/4/24
天津市,Tianjin,189,2020/4/23
黑龙江省,Heilongjiang,925,2020/4/23
上海市,Shanghai,640,2020/4/23
台湾,Taiwan,427,2020/4/23
香港,Hong Kong,1035,2020/4/23
澳门,Macau,45,2020/4/23
浙江省,Zhejiang,1268,2020/4/23
湖北省,Hubei,68128,2020/4/23
北京市,Beijing,593,2020/4/23
广东省,Guangdong,1584,2020/4/23
山西省,Shanxi,197,2020/4/23
吉林省,Jilin,107,2020/4/23
四川省,Sichuan,561,2020/4/23
澳门,Macau,45,2020/4/22
台湾,Taiwan,426,2020/4/22
香港,Hong Kong,1033,2020/4/22
黑龙江省,Heilongjiang,921,2020/4/22
上海市,Shanghai,639,2020/4/22
陕西省,Shaanxi,279,2020/4/22
福建省,Fujian,355,2020/4/22
吉林省,Jilin,106,2020/4/22
湖北省,Hubei,68128,2020/4/22
广东省,Guangdong,1582,2020/4/22
浙江省,Zhejiang,1268,2020/4/22
北京市,Beijing,593,2020/4/22
江苏省,Jiangsu,653,2020/4/22
四川省,Sichuan,561,2020/4/22
山东省,Shandong,787,2020/4/22
天津市,Tianjin,189,2020/4/21
